7:302,58,616,29,8,518,76,650,138,542
18:17,518,8,564,32,15,1578,32205,58,1140
19:17,302,654,76,616,58,8,866,84,29
43:17,302,76,654,616,226,8,58,564,84
36:17,654,616,84,8,58,518,29,76,564
37:17,8,616,654,15,542,61,302,564,32
41:17,616,302,654,58,542,15,101,564,76
42:17,654,58,302,518,84,76,542,564,15
44:302,616,8,84,76,542,518,564,15,861
45:347,76,23970,17,19829,650,564,698,58,7056
46:302,616,58,8,76,542,650,1102,354,564
60:302,616,58,29,84,8,76,650,518,1102
70:302,654,58,616,76,8,84,650,354,29
59:654,616,58,15,76,542,564,29,508,32
116:17,76,302,70,226,508,564,654,616,8
69:302,654,58,564,76,61,650,32,29,508
106:8,84,29,518,15,1102,101,736,70,6
115:58,8,518,29,15,289,354,138,861,301
94:17,616,654,302,58,564,32,84,364,76
174:8,518,117,3233,245,296,11194,431,483,654
177:17,654,58,616,29,84,8,542,518,76
143:394,483,3231,193,107116,1549,1357,4252,10043,5026
148:17,616,654,302,70,8,76,564,58,518
150:17,302,654,8,29,650,84,518,564,542
142:58,8,84,29,32,61,301,1102,364,6
156:302,8,58,616,84,29,542,1102,76,354
161:616,84,76,29,542,650,15,564,101,138
171:302,84,8,650,518,76,15,354,6,1102
172:654,58,8,84,542,76,518,861,564,101
196:616,29,76,650,542,354,15,564,289,101
202:302,58,8,518,542,15,354,1102,138,301
211:17,8,103,787,508,1131,564,76,84,2193
217:17,302,518,616,654,8,58,15,84,245
220:10178,186,22713,7649,39446,1342,64973,13192,7478,15660
224:4797,353,1951,17,518,245,8,84,654,601
225:302,654,616,58,8,84,518,76,29,542
228:17,302,654,616,650,58,76,8,542,564
231:302,654,616,58,8,76,84,518,29,354
232:99009,48256,37449,10236,69488,107510,79914,111953,43254,23961
223:654,302,616,58,8,518,84,29,76,564
229:58,84,518,15,1102,101,736,6,61,32
238:17,245,441,302,8,1744,76,564,58,518
241:616,58,84,29,518,650,76,542,564,15
245:81,262,16786,780,3137,3939,5767,508,650,15380
249:17,654,302,616,58,84,8,518,15,29
250:302,616,654,58,8,84,542,518,29,564
253:17,76,616,302,8,508,654,564,245,226
257:17,84,542,15,1102,861,6,101,138,289
272:654,58,1102,8,29,616,518,354,650,76
273:17,302,654,76,650,15,101,354,736,289
288:17,616,58,84,650,76,29,15,1102,101
290:17,302,616,654,76,226,564,138,84,58
291:17,84,518,616,302,508,542,29,654,15
292:654,616,58,76,542,564,301,289,70,138
294:17,302,8,29,542,1102,76,15,354,564
345:1754,77581,805,385,11401,33223,45975,80736,92129,120518
328:302,58,616,29,650,654,84,245,101,15
331:17,654,302,616,58,84,8,542,15,650
361:58,616,29,8,518,650,76,354,301,138
376:17,302,58,616,29,84,8,650,542,76
384:17,616,302,654,8,542,518,650,76,564
401:616,58,1102,29,650,542,354,15,301,138
402:302,654,8,84,542,518,15,564,1102,101
410:17,76,302,616,654,8,508,58,518,84
448:302,616,654,58,8,518,84,76,542,15
449:17,302,616,654,58,8,518,70,84,15
